2026-07-23 20:57:00 | 02_resolve_smiles | INFO |   PENICILLIN G SODIUM: salt stripped (2 frags), removed: ['[Na+]']
2026-07-23 20:57:00 | 02_resolve_smiles | INFO |   OK PENICILLIN G SODIUM -> CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O... (method=exact_pref_name_match, frags=2)
2026-07-23 20:57:00 | 02_resolve_smiles | INFO | [36/1211] Resolving: Phentolamine Mesylate
2026-07-23 20:57:03 | 02_resolve_smiles | INFO |   Phentolamine Mesylate: salt stripped (2 frags), removed: ['CS(=O)(=O)O']
2026-07-23 20:57:03 | 02_resolve_smiles | INFO |   OK Phentolamine Mesylate -> Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1... (method=exact_pref_name_match, frags=2)
2026-07-23 20:57:03 | 02_resolve_smiles | INFO | [37/1211] Resolving: Colistimethate Sodium
2026-07-23 20:57:06 | 02_resolve_smiles | WARNING |   X Colistimethate Sodium: no_structure --  | No canonical_smiles in ChEMBL response
2026-07-23 20:57:06 | 02_resolve_smiles | INFO | [38/1211] Resolving: Orphenadrine Citrate
2026-07-23 20:57:08 | 02_resolve_smiles | INFO |   Orphenadrine Citrate: salt stripped (2 frags), removed: ['O=C(O)CC(O)(CC(=O)O)C(=O)O']
2026-07-23 20:57:08 | 02_resolve_smiles | INFO |   OK Orphenadrine Citrate -> Cc1ccccc1C(OCCN(C)C)c1ccccc1... (method=exact_pref_name_match, frags=2)
2026-07-23 20:57:08 | 02_resolve_smiles | INFO | [39/1211] Resolving: Midazolam Hydrochloride
2026-07-23 20:57:14 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:57:21 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:57:28 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:57:28 | 02_resolve_smiles | WARNING |   X Midazolam Hydrochloride: api_error -- API request failed after all retries
2026-07-23 20:57:28 | 02_resolve_smiles | INFO | [40/1211] Resolving: METOCLOPRAMIDE HYDROCHLORIDE
2026-07-23 20:57:34 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:57:41 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:58:04 | 02_resolve_smiles | WARNING | Timeout on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:58:04 | 02_resolve_smiles | WARNING |   X METOCLOPRAMIDE HYDROCHLORIDE: api_error -- API request failed after all retries
2026-07-23 20:58:04 | 02_resolve_smiles | INFO | [41/1211] Resolving: PENICILLIN G POTASSIUM
2026-07-23 20:58:07 | 02_resolve_smiles | INFO |   PENICILLIN G POTASSIUM: salt stripped (2 frags), removed: ['[K+]']
2026-07-23 20:58:07 | 02_resolve_smiles | INFO |   OK PENICILLIN G POTASSIUM -> CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O... (method=exact_pref_name_match, frags=2)
2026-07-23 20:58:07 | 02_resolve_smiles | INFO | [42/1211] Resolving: PENTAMIDINE ISETHIONATE
2026-07-23 20:58:09 | 02_resolve_smiles | INFO |   PENTAMIDINE ISETHIONATE: salt stripped (3 frags), removed: ['O=S(=O)(O)CCO', 'O=S(=O)(O)CCO']
2026-07-23 20:58:09 | 02_resolve_smiles | INFO |   OK PENTAMIDINE ISETHIONATE -> N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1... (method=exact_pref_name_match, frags=3)
2026-07-23 20:58:09 | 02_resolve_smiles | INFO | [43/1211] Resolving: DIPHENHYDRAMINE HYDROCHLORIDE
2026-07-23 20:58:15 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:58:22 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:58:29 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:58:29 | 02_resolve_smiles | WARNING |   X DIPHENHYDRAMINE HYDROCHLORIDE: api_error -- API request failed after all retries
2026-07-23 20:58:29 | 02_resolve_smiles | INFO | [44/1211] Resolving: PROCAINAMIDE HYDROCHLORIDE
2026-07-23 20:58:33 | 02_resolve_smiles | INFO |   PROCAINAMIDE HYDROCHLORIDE: salt stripped (2 frags), removed: ['Cl']
2026-07-23 20:58:33 | 02_resolve_smiles | INFO |   OK PROCAINAMIDE HYDROCHLORIDE -> CCN(CC)CCNC(=O)c1ccc(N)cc1... (method=exact_pref_name_match, frags=2)
2026-07-23 20:58:33 | 02_resolve_smiles | INFO | [45/1211] Resolving: LEUCOVORIN CALCIUM
2026-07-23 20:58:54 | 02_resolve_smiles | WARNING | Timeout on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:59:00 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:59:07 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:59:07 | 02_resolve_smiles | WARNING |   X LEUCOVORIN CALCIUM: api_error -- API request failed after all retries
2026-07-23 20:59:07 | 02_resolve_smiles | INFO | [46/1211] Resolving: cefuroxime sodium
2026-07-23 20:59:13 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:59:35 | 02_resolve_smiles | WARNING | Timeout on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
