query_name,parent_smiles,inchi_key,inchikey_block,cardiotox_label,DICT_Concern,pert_id,sig_ids,match_method
Eptifibatide,N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,CZKPOZZJODAYPZ-LROMGURASA-N,CZKPOZZJODAYPZ,1,less,BRD-A90547603,['REP.A026_HA1E_24H:H13'],inchikey
AZATHIOPRINE,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,LMEKQMALGUDUQG-UHFFFAOYSA-N,LMEKQMALGUDUQG,0,no,BRD-K32821942,['REP.A003_HA1E_24H:F19'],inchikey
ENZALUTAMIDE,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,WXCXUHSOUPDCQV-UHFFFAOYSA-N,WXCXUHSOUPDCQV,1,most,BRD-K56851771,['REP.A014_HA1E_24H:I19'],inchikey
DROSPIRENONE,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,METQSPRSQINEEU-HXCATZOESA-N,METQSPRSQINEEU,0,no,BRD-A00938334,['REP.A012_HA1E_24H:E07'],inchikey
POMALIDOMIDE,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,UVSMNLNDYGZFPF-UHFFFAOYSA-N,UVSMNLNDYGZFPF,1,most,BRD-A12994259,['REP.A010_HA1E_24H:E13'],inchikey
ARIPIPRAZOLE,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,CEUORZQYGODEFX-UHFFFAOYSA-N,CEUORZQYGODEFX,1,less,BRD-K70358946,['REP.A022_HA1E_24H:F19'],inchikey
CAPECITABINE,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,GAGWJHPBXLXJQN-UORFTKCHSA-N,GAGWJHPBXLXJQN,1,most,BRD-A91877226,['REP.A026_HA1E_24H:K13'],inchikey
ATORVASTATIN,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,XUKUURHRXDUEBC-KAYWLYCHSA-N,XUKUURHRXDUEBC,0,no,BRD-K69726342,['REP.A023_HA1E_24H:H01'],inchikey
PRAZIQUANTEL,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,FSVJFNAIGNNGKK-UHFFFAOYSA-N,FSVJFNAIGNNGKK,1,most,BRD-A21858158,['REP.A006_HA1E_24H:I19'],inchikey
PARICALCITOL,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,BPKAHTKRCLCHEA-UBFJEZKGSA-N,BPKAHTKRCLCHEA,1,less,BRD-K60585088,['REP.A014_HA1E_24H:H19'],inchikey
LENALIDOMIDE,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,GOTYRUGSSMKFNF-UHFFFAOYSA-N,GOTYRUGSSMKFNF,1,most,BRD-A17883755,['REP.A002_HA1E_24H:N01'],inchikey
